End date,"12/21/2016"
Specimen label,"24T_90"
Maximum Load,"1.06486",N

Time,Extension,Load
(s),(mm),(N)
"3.63600","0.30319","0.00162"
"3.64200","0.30367","0.00171"
"3.64800","0.30415","0.00170"
"3.65400","0.30469","0.00172"
"3.66000","0.30517","0.00164"
"3.66600","0.30564","0.00150"
"3.67200","0.30612","0.00145"
"3.67800","0.30666","0.00141"
"3.68400","0.30714","0.00142"
"3.69000","0.30768","0.00150"
"3.69600","0.30816","0.00151"
"3.70200","0.30869","0.00152"
"3.70800","0.30917","0.00153"
"3.71400","0.30965","0.00150"
"3.72000","0.31019","0.00147"
"3.72600","0.31073","0.00137"
"3.73200","0.31120","0.00128"
"3.73800","0.31168","0.00123"
"3.74400","0.31222","0.00122"
"3.75000","0.31270","0.00127"
"3.75600","0.31324","0.00142"
"3.76200","0.31372","0.00156"
"3.76800","0.31419","0.00157"
"3.77400","0.31467","0.00161"
"3.78000","0.31521","0.00162"
"3.78600","0.31569","0.00167"
"3.79200","0.31617","0.00170"
"3.79800","0.31665","0.00162"
"3.80400","0.31712","0.00156"
"3.81000","0.31760","0.00159"
"3.81600","0.31808","0.00163"
"3.82200","0.31862","0.00170"
"3.82800","0.31910","0.00177"
"3.83400","0.31958","0.00172"
"3.84000","0.32011","0.00172"
"3.84600","0.32059","0.00173"
"3.85200","0.32113","0.00176"
"3.85800","0.32161","0.00174"
"3.86400","0.32209","0.00166"
"3.87000","0.32262","0.00156"
"3.87600","0.32316","0.00151"
"3.88200","0.32364","0.00149"
"3.88800","0.32418","0.00156"
"3.89400","0.32466","0.00164"
"3.90000","0.32514","0.00169"
"3.90600","0.32561","0.00175"
"3.91200","0.32609","0.00178"
"3.91800","0.32657","0.00178"
"3.92400","0.32711","0.00182"
"3.93000","0.32759","0.00181"
"3.93600","0.32807","0.00178"
"3.94200","0.32854","0.00176"
"3.94800","0.32908","0.00169"
"3.95400","0.32956","0.00165"
"3.96000","0.33004","0.00163"
"3.96600","0.33058","0.00161"
"3.97200","0.33105","0.00159"
"3.97800","0.33153","0.00160"
"3.98400","0.33207","0.00161"
"3.99000","0.33255","0.00164"
"3.99600","0.33309","0.00161"
"4.00200","0.33357","0.00156"
"4.00800","0.33410","0.00155"
"4.01400","0.33464","0.00150"
"4.02000","0.33512","0.00140"
"4.02600","0.33566","0.00132"
"4.03200","0.33614","0.00127"
"4.03800","0.33667","0.00133"
"4.04400","0.33721","0.00146"
"4.05000","0.33769","0.00160"
"4.05600","0.33817","0.00182"
"4.06200","0.33865","0.00197"
"4.06800","0.33913","0.00207"
"4.07400","0.33966","0.00218"
"4.08000","0.34014","0.00220"
"4.08600","0.34062","0.00214"
"4.09200","0.34116","0.00203"
"4.09800","0.34164","0.00190"
"4.10400","0.34212","0.00182"
"4.11000","0.34265","0.00178"
"4.11600","0.34313","0.00171"
"4.12200","0.34367","0.00158"
"4.12800","0.34415","0.00144"
"4.13400","0.34463","0.00131"
"4.14000","0.34516","0.00129"
"4.14600","0.34564","0.00134"
"4.15200","0.34618","0.00136"
"4.15800","0.34666","0.00140"
"4.16400","0.34720","0.00141"
"4.17000","0.34768","0.00139"
"4.17600","0.34821","0.00133"
"4.18200","0.34869","0.00135"
"4.18800","0.34923","0.00142"
"4.19400","0.34971","0.00143"
"4.20000","0.35019","0.00143"
"4.20600","0.35067","0.00147"
"4.21200","0.35114","0.00156"
"4.21800","0.35168","0.00161"
"4.22400","0.35216","0.00156"
"4.23000","0.35264","0.00144"
"4.23600","0.35318","0.00134"
"4.24200","0.35366","0.00133"
"4.24800","0.35419","0.00141"
"4.25400","0.35467","0.00156"
"4.26000","0.35515","0.00166"
"4.26600","0.35569","0.00169"
"4.27200","0.35617","0.00173"
"4.27800","0.35664","0.00173"
"4.28400","0.35718","0.00170"
"4.29000","0.35766","0.00168"
"4.29600","0.35814","0.00171"
"4.30200","0.35868","0.00174"
"4.30800","0.35916","0.00179"
"4.31400","0.35969","0.00185"
"4.32000","0.36017","0.00194"
"4.32600","0.36065","0.00199"
"4.33200","0.36113","0.00192"
"4.33800","0.36167","0.00181"
"4.34400","0.36215","0.00168"
"4.35000","0.36262","0.00155"
"4.35600","0.36316","0.00151"
"4.36200","0.36364","0.00142"
"4.36800","0.36412","0.00135"
"4.37400","0.36466","0.00139"
"4.38000","0.36513","0.00137"
"4.38600","0.36567","0.00135"
"4.39200","0.36615","0.00140"
"4.39800","0.36663","0.00137"
"4.40400","0.36717","0.00131"
"4.41000","0.36765","0.00123"
"4.41600","0.36812","0.00119"
"4.42200","0.36866","0.00129"
"4.42800","0.36914","0.00141"
"4.43400","0.36962","0.00139"
"4.44000","0.37016","0.00146"
"4.44600","0.37064","0.00157"
"4.45200","0.37111","0.00164"
"4.45800","0.37165","0.00171"
"4.46400","0.37213","0.00172"
"4.47000","0.37261","0.00180"
"4.47600","0.37309","0.00182"
"4.48200","0.37362","0.00173"
"4.48800","0.37410","0.00167"
"4.49400","0.37458","0.00164"
"4.50000","0.37512","0.00167"
"4.50600","0.37560","0.00169"
"4.51200","0.37614","0.00173"
"4.51800","0.37661","0.00176"
"4.52400","0.37715","0.00187"
"4.53000","0.37763","0.00194"
"4.53600","0.37817","0.00193"
"4.54200","0.37865","0.00194"
"4.54800","0.37913","0.00192"
"4.55400","0.37966","0.00190"
"4.56000","0.38014","0.00185"
"4.56600","0.38062","0.00174"
"4.57200","0.38116","0.00167"
"4.57800","0.38164","0.00157"
"4.58400","0.38211","0.00152"
"4.59000","0.38265","0.00155"
"4.59600","0.38313","0.00156"
"4.60200","0.38361","0.00161"
"4.60800","0.38415","0.00170"
"4.61400","0.38463","0.00175"
"4.62000","0.38510","0.00182"
"4.62600","0.38564","0.00186"
"4.63200","0.38612","0.00188"
"4.63800","0.38660","0.00196"
"4.64400","0.38714","0.00196"
"4.65000","0.38768","0.00190"
"4.65600","0.38815","0.00189"
"4.66200","0.38869","0.00176"
"4.66800","0.38917","0.00164"
"4.67400","0.38971","0.00155"
"4.68000","0.39019","0.00147"
"4.68600","0.39066","0.00142"
"4.69200","0.39120","0.00138"
"4.69800","0.39168","0.00140"
"4.70400","0.39216","0.00139"
"4.71000","0.39264","0.00140"
"4.71600","0.39318","0.00144"
"4.72200","0.39365","0.00157"
"4.72800","0.39413","0.00170"
"4.73400","0.39467","0.00172"
"4.74000","0.39515","0.00171"
"4.74600","0.39569","0.00168"
"4.75200","0.39617","0.00160"
"4.75800","0.39664","0.00152"
"4.76400","0.39718","0.00148"
"4.77000","0.39766","0.00154"
"4.77600","0.39814","0.00152"
