End date,"2/26/2017"
Specimen label,"6AT_44"
Maximum Load,"0.06217",N

Time,Extension,Load
(s),(mm),(N)
"4.63200","0.38618","0.00299"
"4.63800","0.38666","0.00304"
"4.64400","0.38720","0.00299"
"4.65000","0.38768","0.00300"
"4.65600","0.38821","0.00295"
"4.66200","0.38869","0.00292"
"4.66800","0.38923","0.00293"
"4.67400","0.38971","0.00303"
"4.68000","0.39019","0.00310"
"4.68600","0.39066","0.00314"
"4.69200","0.39120","0.00306"
"4.69800","0.39168","0.00300"
"4.70400","0.39216","0.00302"
"4.71000","0.39264","0.00299"
"4.71600","0.39318","0.00300"
"4.72200","0.39365","0.00302"
"4.72800","0.39413","0.00300"
"4.73400","0.39467","0.00282"
"4.74000","0.39515","0.00277"
"4.74600","0.39563","0.00282"
"4.75200","0.39617","0.00293"
"4.75800","0.39664","0.00308"
"4.76400","0.39712","0.00306"
"4.77000","0.39766","0.00295"
