End date,"11/4/2016"
Specimen label,"63G21"
Maximum Load,"0.01685",N

Time,Extension,Load
(s),(mm),(N)
"4.40400","52.72600","0.01497"
"4.41000","52.72647","0.01491"
"4.41600","52.72701","0.01476"
"4.42200","52.72749","0.01463"
"4.42800","52.72797","0.01463"
"4.43400","52.72845","0.01486"
"4.44000","52.72899","0.01502"
"4.44600","52.72947","0.01508"
"4.45200","52.72994","0.01504"
"4.45800","52.73042","0.01504"
"4.46400","52.73090","0.01501"
"4.47000","52.73144","0.01498"
"4.47600","52.73191","0.01503"
"4.48200","52.73245","0.01514"
"4.48800","52.73294","0.01519"
"4.49400","52.73347","0.01518"
"4.50000","52.73395","0.01520"
"4.50600","52.73443","0.01517"
"4.51200","52.73497","0.01498"
"4.51800","52.73545","0.01485"
"4.52400","52.73598","0.01488"
"4.53000","52.73646","0.01507"
"4.53600","52.73700","0.01536"
"4.54200","52.73748","0.01561"
"4.54800","52.73802","0.01570"
"4.55400","52.73849","0.01575"
"4.56000","52.73897","0.01572"
"4.56600","52.73945","0.01560"
"4.57200","52.73999","0.01537"
"4.57800","52.74047","0.01513"
"4.58400","52.74095","0.01503"
"4.59000","52.74143","0.01491"
"4.59600","52.74196","0.01482"
"4.60200","52.74244","0.01485"
"4.60800","52.74292","0.01485"
"4.61400","52.74340","0.01482"
"4.62000","52.74387","0.01486"
"4.62600","52.74435","0.01490"
"4.63200","52.74490","0.01502"
"4.63800","52.74537","0.01523"
"4.64400","52.74585","0.01544"
"4.65000","52.74638","0.01553"
"4.65600","52.74686","0.01532"
"4.66200","52.74734","0.01518"
"4.66800","52.74788","0.01522"
"4.67400","52.74836","0.01526"
"4.68000","52.74890","0.01515"
"4.68600","52.74937","0.01494"
"4.69200","52.74986","0.01477"
"4.69800","52.75039","0.01472"
"4.70400","52.75087","0.01470"
"4.71000","52.75135","0.01452"
"4.71600","52.75188","0.01427"
"4.72200","52.75237","0.01423"
"4.72800","52.75285","0.01442"
"4.73400","52.75332","0.01469"
"4.74000","52.75386","0.01491"
"4.74600","52.75434","0.01492"
"4.75200","52.75482","0.01493"
"4.75800","52.75536","0.01498"
"4.76400","52.75583","0.01509"
"4.77000","52.75631","0.01511"
"4.77600","52.75685","0.01517"
"4.78200","52.75733","0.01532"
