End date,"1/21/2017"
Specimen label,"19DT_NT"
Maximum Load,"0.07495",N

Time,Extension,Load
(s),(mm),(N)
"3.64800","0.30415","-0.00416"
"3.65400","0.30469","-0.00426"
"3.66000","0.30517","-0.00451"
"3.66600","0.30570","-0.00464"
"3.67200","0.30618","-0.00475"
"3.67800","0.30672","-0.00491"
"3.68400","0.30720","-0.00474"
"3.69000","0.30768","-0.00447"
"3.69600","0.30816","-0.00431"
"3.70200","0.30869","-0.00419"
"3.70800","0.30917","-0.00418"
"3.71400","0.30965","-0.00418"
"3.72000","0.31019","-0.00428"
"3.72600","0.31067","-0.00441"
"3.73200","0.31120","-0.00437"
"3.73800","0.31168","-0.00439"
"3.74400","0.31222","-0.00457"
"3.75000","0.31270","-0.00467"
"3.75600","0.31318","-0.00461"
"3.76200","0.31372","-0.00447"
"3.76800","0.31419","-0.00415"
"3.77400","0.31467","-0.00388"
"3.78000","0.31521","-0.00367"
"3.78600","0.31569","-0.00357"
"3.79200","0.31623","-0.00354"
"3.79800","0.31671","-0.00352"
"3.80400","0.31724","-0.00361"
"3.81000","0.31772","-0.00389"
"3.81600","0.31820","-0.00407"
"3.82200","0.31874","-0.00426"
"3.82800","0.31922","-0.00438"
"3.83400","0.31969","-0.00441"
"3.84000","0.32023","-0.00426"
"3.84600","0.32071","-0.00412"
"3.85200","0.32119","-0.00401"
"3.85800","0.32167","-0.00387"
"3.86400","0.32221","-0.00381"
"3.87000","0.32268","-0.00381"
"3.87600","0.32316","-0.00381"
"3.88200","0.32370","-0.00387"
"3.88800","0.32418","-0.00395"
"3.89400","0.32466","-0.00407"
"3.90000","0.32520","-0.00407"
"3.90600","0.32567","-0.00406"
"3.91200","0.32615","-0.00416"
"3.91800","0.32669","-0.00420"
"3.92400","0.32717","-0.00426"
"3.93000","0.32765","-0.00429"
"3.93600","0.32812","-0.00430"
"3.94200","0.32866","-0.00429"
"3.94800","0.32914","-0.00422"
"3.95400","0.32962","-0.00423"
"3.96000","0.33016","-0.00441"
"3.96600","0.33064","-0.00443"
"3.97200","0.33111","-0.00441"
"3.97800","0.33165","-0.00447"
"3.98400","0.33213","-0.00443"
"3.99000","0.33261","-0.00446"
"3.99600","0.33315","-0.00453"
"4.00200","0.33363","-0.00444"
"4.00800","0.33410","-0.00428"
"4.01400","0.33458","-0.00415"
"4.02000","0.33512","-0.00409"
"4.02600","0.33560","-0.00414"
"4.03200","0.33614","-0.00418"
"4.03800","0.33662","-0.00412"
"4.04400","0.33715","-0.00409"
"4.05000","0.33763","-0.00398"
"4.05600","0.33817","-0.00395"
"4.06200","0.33865","-0.00400"
"4.06800","0.33919","-0.00408"
"4.07400","0.33966","-0.00417"
"4.08000","0.34020","-0.00424"
"4.08600","0.34068","-0.00421"
"4.09200","0.34116","-0.00414"
"4.09800","0.34170","-0.00396"
"4.10400","0.34218","-0.00386"
"4.11000","0.34271","-0.00386"
"4.11600","0.34319","-0.00383"
"4.12200","0.34367","-0.00391"
"4.12800","0.34421","-0.00402"
"4.13400","0.34469","-0.00402"
"4.14000","0.34516","-0.00398"
"4.14600","0.34570","-0.00393"
"4.15200","0.34618","-0.00394"
"4.15800","0.34672","-0.00402"
"4.16400","0.34720","-0.00415"
"4.17000","0.34768","-0.00425"
"4.17600","0.34821","-0.00434"
"4.18200","0.34875","-0.00429"
"4.18800","0.34923","-0.00429"
"4.19400","0.34971","-0.00438"
"4.20000","0.35025","-0.00437"
"4.20600","0.35073","-0.00440"
"4.21200","0.35120","-0.00451"
"4.21800","0.35168","-0.00456"
"4.22400","0.35216","-0.00455"
"4.23000","0.35270","-0.00447"
"4.23600","0.35318","-0.00426"
"4.24200","0.35366","-0.00410"
"4.24800","0.35413","-0.00393"
"4.25400","0.35467","-0.00381"
"4.26000","0.35515","-0.00378"
"4.26600","0.35563","-0.00369"
"4.27200","0.35617","-0.00363"
"4.27800","0.35664","-0.00360"
"4.28400","0.35718","-0.00367"
"4.29000","0.35766","-0.00393"
"4.29600","0.35814","-0.00410"
"4.30200","0.35868","-0.00419"
"4.30800","0.35916","-0.00422"
"4.31400","0.35969","-0.00416"
"4.32000","0.36023","-0.00412"
"4.32600","0.36071","-0.00409"
"4.33200","0.36125","-0.00401"
"4.33800","0.36173","-0.00401"
"4.34400","0.36220","-0.00413"
"4.35000","0.36274","-0.00424"
"4.35600","0.36322","-0.00434"
"4.36200","0.36370","-0.00443"
"4.36800","0.36418","-0.00453"
"4.37400","0.36472","-0.00462"
"4.38000","0.36519","-0.00467"
"4.38600","0.36567","-0.00477"
"4.39200","0.36621","-0.00503"
"4.39800","0.36669","-0.00506"
"4.40400","0.36717","-0.00490"
"4.41000","0.36765","-0.00474"
"4.41600","0.36818","-0.00439"
"4.42200","0.36866","-0.00406"
"4.42800","0.36920","-0.00383"
"4.43400","0.36968","-0.00362"
"4.44000","0.37016","-0.00351"
"4.44600","0.37070","-0.00351"
"4.45200","0.37117","-0.00358"
"4.45800","0.37171","-0.00377"
"4.46400","0.37219","-0.00395"
"4.47000","0.37267","-0.00398"
"4.47600","0.37321","-0.00399"
"4.48200","0.37368","-0.00397"
"4.48800","0.37416","-0.00402"
"4.49400","0.37470","-0.00412"
"4.50000","0.37518","-0.00409"
"4.50600","0.37566","-0.00401"
"4.51200","0.37614","-0.00393"
