End date,"11/4/2016"
Specimen label,"63G_"
Maximum Load,"2.39940",N

Time,Extension,Load
(s),(mm),(N)
"4.03200","0.62946","0.00095"
"4.03800","0.62994","0.00096"
"4.04400","0.63042","0.00091"
"4.05000","0.63096","0.00083"
"4.05600","0.63144","0.00082"
"4.06200","0.63192","0.00073"
"4.06800","0.63245","0.00078"
"4.07400","0.63293","0.00091"
"4.08000","0.63341","0.00095"
"4.08600","0.63389","0.00087"
"4.09200","0.63443","0.00076"
"4.09800","0.63491","0.00062"
"4.10400","0.63544","0.00057"
"4.11000","0.63592","0.00065"
"4.11600","0.63640","0.00071"
"4.12200","0.63694","0.00069"
"4.12800","0.63742","0.00057"
"4.13400","0.63795","0.00041"
"4.14000","0.63843","0.00036"
"4.14600","0.63897","0.00048"
"4.15200","0.63945","0.00065"
"4.15800","0.63993","0.00083"
"4.16400","0.64041","0.00088"
"4.17000","0.64088","0.00091"
"4.17600","0.64142","0.00098"
"4.18200","0.64190","0.00101"
"4.18800","0.64238","0.00101"
"4.19400","0.64292","0.00096"
"4.20000","0.64340","0.00088"
"4.20600","0.64387","0.00088"
"4.21200","0.64441","0.00083"
"4.21800","0.64489","0.00080"
"4.22400","0.64537","0.00088"
"4.23000","0.64591","0.00093"
"4.23600","0.64638","0.00100"
"4.24200","0.64686","0.00108"
"4.24800","0.64740","0.00112"
"4.25400","0.64788","0.00110"
"4.26000","0.64842","0.00095"
"4.26600","0.64890","0.00081"
"4.27200","0.64943","0.00081"
"4.27800","0.64991","0.00079"
"4.28400","0.65045","0.00081"
"4.29000","0.65093","0.00088"
"4.29600","0.65141","0.00091"
"4.30200","0.65195","0.00090"
"4.30800","0.65242","0.00082"
"4.31400","0.65290","0.00073"
"4.32000","0.65338","0.00072"
"4.32600","0.65392","0.00075"
"4.33200","0.65440","0.00079"
"4.33800","0.65487","0.00097"
"4.34400","0.65541","0.00103"
"4.35000","0.65589","0.00101"
"4.35600","0.65643","0.00110"
"4.36200","0.65691","0.00107"
"4.36800","0.65739","0.00093"
"4.37400","0.65792","0.00090"
"4.38000","0.65840","0.00096"
"4.38600","0.65894","0.00091"
"4.39200","0.65942","0.00099"
"4.39800","0.65996","0.00105"
"4.40400","0.66044","0.00107"
"4.41000","0.66097","0.00108"
"4.41600","0.66145","0.00106"
"4.42200","0.66193","0.00110"
"4.42800","0.66247","0.00120"
"4.43400","0.66295","0.00130"
"4.44000","0.66342","0.00126"
"4.44600","0.66396","0.00110"
"4.45200","0.66444","0.00097"
"4.45800","0.66492","0.00094"
"4.46400","0.66540","0.00092"
"4.47000","0.66588","0.00088"
"4.47600","0.66641","0.00098"
"4.48200","0.66689","0.00101"
"4.48800","0.66737","0.00119"
"4.49400","0.66791","0.00137"
"4.50000","0.66839","0.00152"
"4.50600","0.66893","0.00160"
"4.51200","0.66940","0.00162"
"4.51800","0.66994","0.00162"
"4.52400","0.67042","0.00162"
"4.53000","0.67096","0.00144"
"4.53600","0.67144","0.00126"
"4.54200","0.67191","0.00113"
"4.54800","0.67245","0.00093"
"4.55400","0.67293","0.00092"
"4.56000","0.67347","0.00090"
"4.56600","0.67395","0.00091"
"4.57200","0.67449","0.00094"
"4.57800","0.67496","0.00088"
"4.58400","0.67550","0.00092"
"4.59000","0.67598","0.00102"
"4.59600","0.67646","0.00107"
"4.60200","0.67700","0.00108"
"4.60800","0.67748","0.00109"
"4.61400","0.67795","0.00118"
"4.62000","0.67843","0.00129"
"4.62600","0.67891","0.00133"
"4.63200","0.67945","0.00119"
